id,category,original-instruction,original-context,original-response,new-instruction,new-context,new-response,external_id
14835,open_qa,UNESCO Peace Prize 2022 was given to,,Angela Merkel(Former German Chancellor),"{'user_id': array([None], dtype=object), 'value': array(['UNESCO Peace Prize 2022 was given to'], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['Angela Merkel(Former German Chancellor)'], dtype=object), 'status': array(['submitted'], dtype=object)}",
11467,general_qa,What is Gettysburg College?,,"Gettysburg College is a private liberal arts college located in Gettysburg, Pennsylvania. It was founded in 1832 and is noted as being a key fixture in the Battle of Gettysburg fought during the Civil War.Gettysburg College has about 2,600 students and is 90 miles north of Washington D.C.","{'user_id': array([None], dtype=object), 'value': array(['What is Gettysburg College?'], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['Gettysburg College is a private liberal arts college located in Gettysburg, Pennsylvania. It was founded in 1832 and is noted as being a key fixture in the Battle of Gettysburg fought during the Civil War.Gettysburg College has about 2,600 students and is 90 miles north of Washington D.C.'],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
10153,general_qa,What is a good way to start a garden bed in my backyard?,,"Double digging your garden bed can yield great results. Take a shovel and dig one blade length into the soil and set that to the side. Then dig out a second blade length into the soil and set this portion to the side as well. Put the first portion back into the hole you've dug and then place the second portion on the top. By following this method, you can exchange the subsoil and topsoil. Alternatively, you can build a raised garden bed using wood or other material you have hand like corrugated metal. A raised garden bed should have sides that are about 1 - 3 feet high although you can vary this based on your needs. Fill the garden bed with soil mix from your local garden store or from other areas of your yard. Once the garden bed is filled, you can begin planting. Finally, you can use a sheet mulching method to start a garden bed in your backyard. Take thick cardboard or several sheets of a heavy paper material and lay it down on top of a grassy area in your backyard. You want to make sure that the cardboard or paper is overlapped so that it blocks all light to soil and grass underneath it. Once you have finished laying down your material to block the light, spread compost on top so it is three to six inches deep. You can plant into this compost layer. As a final layer, place one to three inches of mulch or straw on top to protect your compost layer.","{'user_id': array([None], dtype=object), 'value': array(['What is a good way to start a garden bed in my backyard?'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([""Double digging your garden bed can yield great results. Take a shovel and dig one blade length into the soil and set that to the side. Then dig out a second blade length into the soil and set this portion to the side as well. Put the first portion back into the hole you've dug and then place the second portion on the top. By following this method, you can exchange the subsoil and topsoil. Alternatively, you can build a raised garden bed using wood or other material you have hand like corrugated metal. A raised garden bed should have sides that are about 1 - 3 feet high although you can vary this based on your needs. Fill the garden bed with soil mix from your local garden store or from other areas of your yard. Once the garden bed is filled, you can begin planting. Finally, you can use a sheet mulching method to start a garden bed in your backyard. Take thick cardboard or several sheets of a heavy paper material and lay it down on top of a grassy area in your backyard. You want to make sure that the cardboard or paper is overlapped so that it blocks all light to soil and grass underneath it. Once you have finished laying down your material to block the light, spread compost on top so it is three to six inches deep. You can plant into this compost layer. As a final layer, place one to three inches of mulch or straw on top to protect your compost layer.""],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
1032,open_qa,2021 Nobel Prize was awarded to which all Journalists,,Maria Ressa of Philippines & Dmitry Muratov of Russia,"{'user_id': array([None], dtype=object), 'value': array(['2021 Nobel Prize was awarded to which all Journalists'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['Maria Ressa of Philippines & Dmitry Muratov of Russia'],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
6823,general_qa,"I strongly believe in having a growth mindset and being a lifelong learner. However, I am a very busy person and I always find it hard to find time in the day to dedicate to educating myself on a variety of topics. I would love to read more, but I simply don't have the time to be able to do this today regularly. What are some ways that I can consume content to learn and exercise my mind, using the least amount of time as possible?",,"Time management is very hard for many people. Having a growth mindset is a fantastic way to continue to better yourself through all of life's troubles and tribulations. Here are a few ways that you can educate yourself either on the go, or with minimal time commitment:

1. TED (and TEDx) Talks - TED Talks are popular videos that present a great idea in 18 minutes or less. While TED talks are intended for a global audience, TEDx talks are intended for smaller audiences and are usually presented at a local level. TED and TEDx talk videos are readily available for consumption, for free from the website www.ted.com, via a mobiule app, as well as on Spotify, YouTube and many other content platforms.

2. Podcasts - Podcasts are a series of on-demand episodes, delivered orally, focused on a specific theme. Podcasts can be accessed from many types of devices and are readily available from many popular platforms, including Spotify, Apple Podcasts and iHeartRadio. Podcasts are focused on any number of topics, and can easily be listened to while on the go. 

3. Newsletters - Newsletters are printed or electronic reports that are made available by many organizations to a subscribed audience. They are often written in short, digestible formats to provide the highlights of a variety of topics, and typically contain links to learn more, if desired. They usually take only a few minutes to read and are readily available from news sources like the Wall Street Journal, CNN, Fox News, as well as many websites and LinkedIn groups. 

In addition to these ideas, simply dedicating a small amount of time each day to learning and improving yourself can go a long way. Try to dedicate 15 minutes every day, ideally at the same time each day, toward this and before long, it will become a habit.","{'user_id': array([None], dtype=object), 'value': array([""I strongly believe in having a growth mindset and being a lifelong learner. However, I am a very busy person and I always find it hard to find time in the day to dedicate to educating myself on a variety of topics. I would love to read more, but I simply don't have the time to be able to do this today regularly. What are some ways that I can consume content to learn and exercise my mind, using the least amount of time as possible?""],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([""Time management is very hard for many people. Having a growth mindset is a fantastic way to continue to better yourself through all of life's troubles and tribulations. Here are a few ways that you can educate yourself either on the go, or with minimal time commitment:\n\n1. TED (and TEDx) Talks - TED Talks are popular videos that present a great idea in 18 minutes or less. While TED talks are intended for a global audience, TEDx talks are intended for smaller audiences and are usually presented at a local level. TED and TEDx talk videos are readily available for consumption, for free from the website www.ted.com, via a mobiule app, as well as on Spotify, YouTube and many other content platforms.\n\n2. Podcasts - Podcasts are a series of on-demand episodes, delivered orally, focused on a specific theme. Podcasts can be accessed from many types of devices and are readily available from many popular platforms, including Spotify, Apple Podcasts and iHeartRadio. Podcasts are focused on any number of topics, and can easily be listened to while on the go. \n\n3. Newsletters - Newsletters are printed or electronic reports that are made available by many organizations to a subscribed audience. They are often written in short, digestible formats to provide the highlights of a variety of topics, and typically contain links to learn more, if desired. They usually take only a few minutes to read and are readily available from news sources like the Wall Street Journal, CNN, Fox News, as well as many websites and LinkedIn groups. \n\nIn addition to these ideas, simply dedicating a small amount of time each day to learning and improving yourself can go a long way. Try to dedicate 15 minutes every day, ideally at the same time each day, toward this and before long, it will become a habit.""],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
2982,classification,"Classify each of the following as either characters from Star Wars or Star Trek: Jean Luc Picard, Grogu, Han Solo, Luke Skywalker, Data, Q, Darth Vader, Ahsoka, William Riker, James Kirk, Spock",,"Star Wars: Grogu, Han Solo, Luke Skywalker, Darth Vader, Ahsoka
Star Trek: Jean Luc Picard, Data, Q, William Riker, James Kirk, Spock","{'user_id': array([None], dtype=object), 'value': array(['Classify each of the following as either characters from Star Wars or Star Trek: Jean Luc Picard, Grogu, Han Solo, Luke Skywalker, Data, Q, Darth Vader, Ahsoka, William Riker, James Kirk, Spock'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['Star Wars: Grogu, Han Solo, Luke Skywalker, Darth Vader, Ahsoka\nStar Trek: Jean Luc Picard, Data, Q, William Riker, James Kirk, Spock'],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
6155,general_qa,What happens if we forcefully immerse a empty bottle inside the water?,,"The bottle will bounce back to the top of the water because the upward force exerted by the water, called the buoyant force, on the bottle makes it bounce back.","{'user_id': array([None], dtype=object), 'value': array(['What happens if we forcefully immerse a empty bottle inside the water?'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['The bottle will bounce back to the top of the water because the upward force exerted by the water, called the buoyant force, on the bottle makes it bounce back.'],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
7520,brainstorming,Give me some ideas for a gender reveal,,"Here are some ideas for a gender reveal-
Bursting a balloon with confetti in blue or pink colors
Cutting a cake with the icing in blue or pink colors
Blasting a party popper with blue or pink colors
Organize a personalized treasure hunt with final clue revealing the gender
Box of pink or blue color helium filled balloons","{'user_id': array([None], dtype=object), 'value': array(['Give me some ideas for a gender reveal'], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['Here are some ideas for a gender reveal-\nBursting a balloon with confetti in blue or pink colors\nCutting a cake with the icing in blue or pink colors\nBlasting a party popper with blue or pink colors\nOrganize a personalized treasure hunt with final clue revealing the gender\nBox of pink or blue color helium filled balloons'],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
275,general_qa,Why isn't multi-threading making my Python code faster? How can I fix it.,,"Python restricts access to the interpreter with a Global Interpreter Lock, referred to as the GIL, for internal thread-safety requirements. Unfortunately, this design decision restricts only allows one thread to interpret Python code at a time, even on a machine with the capability to run multiple threads together. 

If you wish to run Python code on a set of data, and the data can be broken up into independent segments (a process known as data partitioning), you may wish to look into the multiprocessing library in Python. 

As an example, consider the function foo which takes one argument, arg1, and say you wanted to run the foo function on a number of values, say, val1, val2, and val3.

def foo(arg1):
  # do something

if __name__ == '__main__':
  foo(val1)
  foo(val2)
  foo(val3)

To have foo execute on multiple processes together, you could use the multiprocessing Pool  to run multiple worker processes together:

from multiprocessing import Pool

def foo(arg1):
  # do something

if __name__ == '__main__':
  p = Pool()
  p.map(foo, [val1, val2, val3])

The multiprocessing library also provides various other APIs for parallel programming. Would you like to know more?","{'user_id': array([None], dtype=object), 'value': array([""Why isn't multi-threading making my Python code faster? How can I fix it.""],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([""Python restricts access to the interpreter with a Global Interpreter Lock, referred to as the GIL, for internal thread-safety requirements. Unfortunately, this design decision restricts only allows one thread to interpret Python code at a time, even on a machine with the capability to run multiple threads together. \n\nIf you wish to run Python code on a set of data, and the data can be broken up into independent segments (a process known as data partitioning), you may wish to look into the multiprocessing library in Python. \n\nAs an example, consider the function foo which takes one argument, arg1, and say you wanted to run the foo function on a number of values, say, val1, val2, and val3.\n\ndef foo(arg1):\n  # do something\n\nif __name__ == '__main__':\n  foo(val1)\n  foo(val2)\n  foo(val3)\n\nTo have foo execute on multiple processes together, you could use the multiprocessing Pool  to run multiple worker processes together:\n\nfrom multiprocessing import Pool\n\ndef foo(arg1):\n  # do something\n\nif __name__ == '__main__':\n  p = Pool()\n  p.map(foo, [val1, val2, val3])\n\nThe multiprocessing library also provides various other APIs for parallel programming. Would you like to know more?""],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
342,closed_qa,"If each client was served by the same number of professionals, how many professionals (round to one decimal place) would each client be served by?","RGP, formerly known as Resources Global Professionals, is the operating arm of Resources Connection, Inc. (NASDAQ:RGP). The company provides consulting services in the areas of finance & accounting; information management; governance, risk & compliance (GRC); human capital; legal & regulatory; corporate advisory & restructuring; strategic communications; and supply chain management.[1] As of fiscal year ending May 28, 2016, the company employed 3,283 professionals in 68 offices in 20 countries around the world.[2] The company reported serving over 1,700 clients.[3] Company headquarters are located in Irvine, CA.","3283 professionals and 1700 clients, so 3283/1700 = 1.9 professionals serving each client.","{'user_id': array([None], dtype=object), 'value': array(['If each client was served by the same number of professionals, how many professionals (round to one decimal place) would each client be served by?'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['RGP, formerly known as Resources Global Professionals, is the operating arm of Resources Connection, Inc. (NASDAQ:RGP). The company provides consulting services in the areas of finance & accounting; information management; governance, risk & compliance (GRC); human capital; legal & regulatory; corporate advisory & restructuring; strategic communications; and supply chain management. As of fiscal year ending May 28, 2016, the company employed 3,283 professionals in 68 offices in 20 countries around the world. The company reported serving over 1,700 clients. Company headquarters are located in Irvine, CA.'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['3283 professionals and 1700 clients, so 3283/1700 = 1.9 professionals serving each client.'],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
